"plot","Species","Importance Value","time"
"2.1.4","CADE",104.971038515678,"Pre-fire"
"2.1.5","CADE",128.924493064923,"Pre-fire"
"2.1.6","CADE",0,"Pre-fire"
"2.2.1","CADE",0,"Pre-fire"
"2.2.2","CADE",0,"Pre-fire"
"2.2.3","CADE",140.67832662209,"Pre-fire"
"2.2.4","CADE",0,"Pre-fire"
"2.2.5","CADE",147.416591271446,"Pre-fire"
"2.2.6","CADE",0,"Pre-fire"
"2.3.1","CADE",0,"Pre-fire"
"2.3.2","CADE",0,"Pre-fire"
"2.3.3","CADE",136.362304846439,"Pre-fire"
"2.3.4","CADE",0,"Pre-fire"
"2.3.5","CADE",0,"Pre-fire"
"2.3.6","CADE",0,"Pre-fire"
"2.4.1","CADE",0,"Pre-fire"
"2.4.2","CADE",0,"Pre-fire"
"2.4.3","CADE",143.620053353311,"Pre-fire"
"2.4.4","CADE",0,"Pre-fire"
"2.4.5","CADE",0,"Pre-fire"
"2.4.6","CADE",141.115586790616,"Pre-fire"
"3.1.1","CADE",143.62546458339,"Pre-fire"
"3.1.2","CADE",0,"Pre-fire"
"3.1.3","CADE",0,"Pre-fire"
"3.1.4","CADE",0,"Pre-fire"
"3.1.5","CADE",0,"Pre-fire"
"3.1.6","CADE",105.706035429377,"Pre-fire"
"3.2.1","CADE",137.42516365293,"Pre-fire"
"3.2.2","CADE",135.466974946211,"Pre-fire"
"3.2.3","CADE",0,"Pre-fire"
"3.2.4","CADE",106.896759126406,"Pre-fire"
"3.2.5","CADE",0,"Pre-fire"
"3.2.6","CADE",0,"Pre-fire"
"3.3.2","CADE",0,"Pre-fire"
"3.3.3","CADE",140.981491870455,"Pre-fire"
"3.3.4","CADE",122.426900143407,"Pre-fire"
"3.3.5","CADE",0,"Pre-fire"
"3.3.6","CADE",116.254798278568,"Pre-fire"
"3.4.1","CADE",0,"Pre-fire"
"3.4.2","CADE",0,"Pre-fire"
"3.4.3","CADE",113.422019259406,"Pre-fire"
"3.4.4","CADE",0,"Pre-fire"
"3.4.5","CADE",0,"Pre-fire"
"3.4.6","CADE",111.599816971208,"Pre-fire"
"4.1.1","CADE",0,"Pre-fire"
"4.1.2","CADE",0,"Pre-fire"
"4.1.3","CADE",0,"Pre-fire"
"4.1.4","CADE",0,"Pre-fire"
"4.1.5","CADE",0,"Pre-fire"
"4.1.6","CADE",0,"Pre-fire"
"4.2.1","CADE",0,"Pre-fire"
"4.2.2","CADE",0,"Pre-fire"
"4.2.3","CADE",0,"Pre-fire"
"4.2.4","CADE",0,"Pre-fire"
"4.2.5","CADE",0,"Pre-fire"
"4.2.6","CADE",105.979484759982,"Pre-fire"
"4.3.1","CADE",0,"Pre-fire"
"4.3.2","CADE",0,"Pre-fire"
"4.3.3","CADE",0,"Pre-fire"
"4.3.4","CADE",113.125760233815,"Pre-fire"
"4.3.5","CADE",113.663488307969,"Pre-fire"
"4.3.6","CADE",0,"Pre-fire"
"4.4.1","CADE",0,"Pre-fire"
"4.4.2","CADE",0,"Pre-fire"
"4.4.3","CADE",0,"Pre-fire"
"4.4.4","CADE",0,"Pre-fire"
"4.4.5","CADE",0,"Pre-fire"
"4.4.6","CADE",0,"Pre-fire"
"1.1.1","PILA",0,"Pre-fire"
"1.1.2","PILA",0,"Pre-fire"
"1.1.3","PILA",0,"Pre-fire"
"1.1.4","PILA",0,"Pre-fire"
"1.2.1","PILA",104.339857371911,"Pre-fire"
"1.2.2","PILA",0,"Pre-fire"
"1.2.3","PILA",0,"Pre-fire"
"1.2.4","PILA",0,"Pre-fire"
"1.2.5","PILA",105.561585447107,"Pre-fire"
"1.2.6","PILA",0,"Pre-fire"
"1.3.1","PILA",0,"Pre-fire"
"1.3.2","PILA",0,"Pre-fire"
"1.3.3","PILA",111.147090792285,"Pre-fire"
"1.3.4","PILA",106.040521308662,"Pre-fire"
"1.3.5","PILA",107.962565822631,"Pre-fire"
"1.3.6","PILA",0,"Pre-fire"
"1.4.1","PILA",123.766941355807,"Pre-fire"
"1.4.2","PILA",0,"Pre-fire"
"1.4.3","PILA",108.250206078289,"Pre-fire"
"1.4.4","PILA",103.650052320306,"Pre-fire"
"1.4.5","PILA",117.905020618645,"Pre-fire"
"1.4.6","PILA",107.470517974487,"Pre-fire"
"2.1.1","PILA",151.886018460731,"Pre-fire"
"2.1.2","PILA",0,"Pre-fire"
"2.1.3","PILA",149.653294446425,"Pre-fire"
"2.1.4","PILA",0,"Pre-fire"
"2.1.5","PILA",142.218482409221,"Pre-fire"
"2.1.6","PILA",0,"Pre-fire"
"2.2.1","PILA",0,"Pre-fire"
"2.2.2","PILA",101.445675081495,"Pre-fire"
"2.2.3","PILA",138.436346712464,"Pre-fire"
"2.2.4","PILA",0,"Pre-fire"
"2.2.5","PILA",0,"Pre-fire"
"2.2.6","PILA",122.414109548795,"Pre-fire"
"2.3.1","PILA",0,"Pre-fire"
"2.3.2","PILA",0,"Pre-fire"
"2.3.3","PILA",0,"Pre-fire"
"2.3.4","PILA",166.123147924196,"Pre-fire"
"2.3.5","PILA",0,"Pre-fire"
"2.3.6","PILA",0,"Pre-fire"
"2.4.1","PILA",0,"Pre-fire"
"2.4.2","PILA",0,"Pre-fire"
"2.4.3","PILA",0,"Pre-fire"
"2.4.4","PILA",128.376687455154,"Pre-fire"
"2.4.5","PILA",118.360289502647,"Pre-fire"
"2.4.6","PILA",112.419860586496,"Pre-fire"
"3.1.1","PILA",0,"Pre-fire"
"3.1.2","PILA",0,"Pre-fire"
"3.1.3","PILA",106.634309470762,"Pre-fire"
"3.1.4","PILA",0,"Pre-fire"
"3.1.5","PILA",0,"Pre-fire"
"3.1.6","PILA",0,"Pre-fire"
"3.2.1","PILA",109.916792413918,"Pre-fire"
"3.2.2","PILA",142.670191850317,"Pre-fire"
"3.2.3","PILA",0,"Pre-fire"
"3.2.4","PILA",0,"Pre-fire"
"3.2.5","PILA",0,"Pre-fire"
"3.2.6","PILA",114.792599746299,"Pre-fire"
"3.3.2","PILA",172.926666949861,"Pre-fire"
"3.3.3","PILA",0,"Pre-fire"
"3.3.4","PILA",0,"Pre-fire"
"3.3.5","PILA",0,"Pre-fire"
"3.3.6","PILA",126.954786279985,"Pre-fire"
"3.4.1","PILA",208.587083102243,"Pre-fire"
"3.4.2","PILA",193.596786769387,"Pre-fire"
"3.4.3","PILA",0,"Pre-fire"
"3.4.4","PILA",203.269009151654,"Pre-fire"
"3.4.5","PILA",145.652021008299,"Pre-fire"
"3.4.6","PILA",163.506730399019,"Pre-fire"
"4.1.1","PILA",224.486328278463,"Pre-fire"
"4.1.2","PILA",110.15007593894,"Pre-fire"
"4.1.3","PILA",0,"Pre-fire"
"4.1.4","PILA",118.007771921495,"Pre-fire"
"4.1.5","PILA",0,"Pre-fire"
"4.1.6","PILA",0,"Pre-fire"
"4.2.1","PILA",115.113336327287,"Pre-fire"
"4.2.2","PILA",0,"Pre-fire"
"4.2.3","PILA",112.530533975063,"Pre-fire"
"4.2.4","PILA",0,"Pre-fire"
"4.2.5","PILA",138.893066447046,"Pre-fire"
"4.2.6","PILA",150.781536183995,"Pre-fire"
"4.3.1","PILA",220,"Pre-fire"
"4.3.2","PILA",197.441758218948,"Pre-fire"
"4.3.3","PILA",0,"Pre-fire"
"4.3.4","PILA",0,"Pre-fire"
"4.3.5","PILA",241.833189536321,"Pre-fire"
"4.3.6","PILA",0,"Pre-fire"
"4.4.1","PILA",222.31589416079,"Pre-fire"
"4.4.2","PILA",277.777753274086,"Pre-fire"
"4.4.3","PILA",195.790024516902,"Pre-fire"
"4.4.4","PILA",213.170817760473,"Pre-fire"
"4.4.5","PILA",0,"Pre-fire"
"4.4.6","PILA",0,"Pre-fire"
"1.1.1","PIPO",107.469442394049,"Pre-fire"
"1.1.2","PIPO",133.024787203622,"Pre-fire"
"1.1.3","PIPO",0,"Pre-fire"
"1.1.4","PIPO",119.443511079696,"Pre-fire"
"1.2.1","PIPO",106.060089406077,"Pre-fire"
"1.2.2","PIPO",0,"Pre-fire"
"1.2.3","PIPO",113.205165814015,"Pre-fire"
"1.2.4","PIPO",171.038365534359,"Pre-fire"
"1.2.5","PIPO",130.489123975363,"Pre-fire"
"1.2.6","PIPO",108.007155097925,"Pre-fire"
"1.3.1","PIPO",150.447228213897,"Pre-fire"
"1.3.2","PIPO",137.061936577936,"Pre-fire"
"1.3.3","PIPO",115.54192868419,"Pre-fire"
"1.3.4","PIPO",137.583704073221,"Pre-fire"
