,,P-value,,,,,,,,,,
Species,r2,Storrie,Chips,Interaction term,,,,,,,,
ABCO,0.45,0.00002,<0.00001,0.00006,,,,,,,,
CADE†,0.38,0.767,0.00002,n.s.,,,,,,,,
PILA†,0.42,0.0001,0.00022,n.s.,,,,,,,,
PIPO,0.24,0.00122,0.00037,0.00321,,,,,,,,
PSME†,0.48,0.01587,0.00015,n.s.,,,,,,,,
QUKE,0.51,<0.00001,<0.00001,0.00015,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,, 
