"rdnbr.plot","ABCO","CADE","PILA","PIPO","PSME","QUKE","ABCO.1","CADE.1","PILA.1","PIPO.1","PSME.1","QUKE.1","ABCO.2","CADE.2","PILA.2","PIPO.2","PSME.2","QUKE.2"
"4.2.6",142.897132190192,105.979484759982,150.781536183995,129.767459997939,0,170.574386867892,0,111.603511690602,0,125.969072268267,0,262.42741604113,0,0,109.144529986859,214.761088980165,0,176.094381032976
"4.3.1",0,0,220,0,0,180,0,0,0,0,0,200,0,0,0,0,0,300
"4.3.2",162.009870785827,0,197.441758218948,125.548370995226,0,115,241.280386934218,0,0,135.642689988859,0,123.076923076923,0,0,0,0,0,300
"4.3.3",0,0,0,0,0,300,0,0,0,0,0,200,0,0,0,0,0,300
"4.3.4",0,113.125760233815,0,0,186.159403543816,200.714836222369,0,0,0,0,0,200,0,0,0,0,0,300
"4.3.5",0,113.663488307969,241.833189536321,136.169988822377,0,108.333333333333,0,0,0,0,0,300,0,0,0,0,0,300
"4.3.6",165.318487299531,0,0,0,0,234.681512700469,125.859559458979,0,0,0,0,274.140440541021,158.913051318115,0,0,0,0,241.086948681885
"4.4.1",0,0,222.31589416079,0,123.45923681859,154.22486902062,0,0,0,0,0,300,0,0,0,0,0,300
"4.4.2",0,0,277.777753274086,0,0,122.222246725914,0,0,0,0,0,200,0,0,0,0,0,300
"4.4.3",0,0,195.790024516902,0,0,204.209975483098,0,0,146.73688499464,0,0,253.26311500536,0,0,0,0,0,300
"4.4.4",149.79214520249,0,213.170817760473,0,0,137.037037037037,256.521739130435,0,0,0,0,143.478260869565,0,0,0,0,0,300
"4.4.5",217.834499289838,0,0,144.808706712445,122.896281442378,114.460512555339,0,0,0,0,0,300,0,0,0,0,0,300
"4.4.6",220.755929887189,0,0,129.231597556309,0,150.012472556502,143.278070752868,0,0,145.577514305649,0,211.144414941483,0,0,0,0,0,300
